url,Monthly rental price,Bedrooms,Living area,lat,lon
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8584248?searchId=5eab5d99f3679,1700.0,2.0,115.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8620278?searchId=5eab5d99f3679,1450.0,1.0,77.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8684681?searchId=5eab5d99f3679,810.0,2.0,90.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8615828?searchId=5eab5ece9b674,1450.0,3.0,135.0,51.030473150000006,3.712641043458537
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8671568?searchId=5eab5ece9b674,900.0,3.0,127.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8635557?searchId=5eab5ece9b674,725.0,1.0,85.0,51.04257215,3.7309933821667256
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8640808?searchId=5eab5ece9b674,1920.0,3.0,220.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8675395?searchId=5eab5ece9b674,890.0,3.0,101.0,51.0390451,3.7159236
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676287?searchId=5eab5ece9b674,1200.0,3.0,122.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8640815?searchId=5eab5ece9b674,1350.0,2.0,135.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676288?searchId=5eab5ece9b674,850.0,1.0,80.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676300?searchId=5eab5ece9b674,1150.0,3.0,126.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/ground-floor/for-rent/gent/9000/8640816?searchId=5eab5ece9b674,880.0,3.0,138.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8673813?searchId=5eab5ece9b674,800.0,2.0,91.0,51.0025951,3.7027928
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8678421?searchId=5eab5ece9b674,850.0,2.0,86.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/penthouse/for-rent/gent/9000/8640821?searchId=5eab5ece9b674,1295.0,3.0,140.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676299?searchId=5eab5ece9b674,825.0,2.0,80.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8633979?searchId=5eab5ece9b674,990.0,2.0,107.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8664695?searchId=5eab5ece9b674,1100.0,3.0,145.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/mansion/for-rent/gent/9000/8640812?searchId=5eab5ece9b674,1950.0,5.0,300.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8633209?searchId=5eab5ece9b674,715.0,1.0,60.0,51.0491972,3.7060436
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676293?searchId=5eab5ece9b674,825.0,2.0,80.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8573847?searchId=5eab5fed60cab,1295.0,2.0,132.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676289?searchId=5eab5fed60cab,795.0,1.0,74.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8591049?searchId=5eab5fed60cab,850.0,2.0,100.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8676291?searchId=5eab5fed60cab,1200.0,3.0,122.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8688970?searchId=5eab5fed60cab,700.0,2.0,85.0,51.0514163,3.7203305
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8549942?searchId=5eab5fed60cab,780.0,2.0,80.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8655527?searchId=5eab5fed60cab,1050.0,4.0,130.0,51.0491972,3.7060436
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8671399?searchId=5eab5fed60cab,950.0,2.0,161.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8279213?searchId=5eab5fed60cab,850.0,2.0,90.0,51.0576892,3.7122194
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8681523?searchId=5eab5fed60cab,560.0,1.0,63.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692654?searchId=5eab5fed60cab,775.0,2.0,95.0,51.03581725,3.7158632893882175
